2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10007783,University of Aberdeen,Q01,1%,3%,5%,60%,32%,1,90%,91%,93%,1457,2109,
10007783,University of Aberdeen,Q02,1%,5%,10%,53%,31%,0,82%,84%,86%,1458,2109,
10007783,University of Aberdeen,Q03,1%,4%,7%,41%,48%,0,87%,88%,90%,1458,2109,
10007783,University of Aberdeen,Q04,2%,5%,12%,40%,41%,0,79%,81%,84%,1458,2109,
10007783,University of Aberdeen,Scale01,1%,4%,8%,48%,38%,1,84%,86%,88%,1458,2109,
10007783,University of Aberdeen,Q05,1%,4%,10%,41%,44%,3,83%,85%,87%,1455,2109,
10007783,University of Aberdeen,Q06,1%,4%,10%,44%,42%,2,83%,85%,87%,1456,2109,
10007783,University of Aberdeen,Q07,3%,8%,13%,41%,35%,4,74%,77%,79%,1454,2109,
10007783,University of Aberdeen,Scale02,2%,5%,11%,42%,40%,9,80%,82%,84%,1458,2109,
10007783,University of Aberdeen,Q08,5%,9%,14%,42%,30%,2,69%,72%,74%,1456,2109,
10007783,University of Aberdeen,Q09,4%,7%,13%,47%,29%,8,74%,77%,79%,1450,2109,
10007783,University of Aberdeen,Q10,6%,12%,17%,42%,22%,10,62%,65%,67%,1448,2109,
10007783,University of Aberdeen,Q11,4%,9%,14%,48%,25%,6,70%,73%,75%,1452,2109,
10007783,University of Aberdeen,Scale03,5%,9%,14%,45%,27%,26,69%,71%,74%,1458,2109,
10007783,University of Aberdeen,Q12,1%,2%,6%,36%,56%,4,90%,91%,93%,1454,2109,
10007783,University of Aberdeen,Q13,2%,5%,11%,47%,35%,6,80%,82%,84%,1452,2109,
10007783,University of Aberdeen,Q14,2%,8%,17%,39%,34%,55,70%,73%,75%,1403,2109,
10007783,University of Aberdeen,Scale04,2%,5%,11%,41%,42%,65,80%,82%,84%,1456,2109,
10007783,University of Aberdeen,Q15,3%,8%,13%,52%,23%,0,72%,75%,77%,1458,2109,
10007783,University of Aberdeen,Q16,2%,6%,8%,39%,44%,1,81%,84%,86%,1457,2109,
10007783,University of Aberdeen,Q17,2%,5%,12%,43%,38%,13,79%,81%,83%,1445,2109,
10007783,University of Aberdeen,Scale05,2%,7%,11%,45%,35%,14,77%,80%,82%,1458,2109,
10007783,University of Aberdeen,Q18,1%,4%,9%,41%,46%,11,85%,87%,88%,1447,2109,
10007783,University of Aberdeen,Q19,0%,2%,5%,34%,58%,7,90%,92%,93%,1451,2109,
10007783,University of Aberdeen,Q20,0%,3%,5%,39%,53%,29,90%,92%,93%,1429,2109,
10007783,University of Aberdeen,Scale06,1%,3%,6%,38%,52%,47,88%,90%,92%,1457,2109,
10007783,University of Aberdeen,Q21,4%,7%,15%,37%,36%,7,70%,73%,76%,1451,2109,
10007783,University of Aberdeen,Q22,1%,3%,8%,39%,48%,6,86%,88%,89%,1452,2109,
10007783,University of Aberdeen,Scale07,3%,5%,12%,38%,42%,13,78%,80%,83%,1456,2109,
10007783,University of Aberdeen,Q23,1%,2%,6%,36%,54%,3,88%,90%,92%,1455,2109,
10007783,University of Aberdeen,Q24,3%,8%,12%,40%,37%,5,75%,77%,79%,1453,2109,
10007783,University of Aberdeen,Q25,5%,13%,24%,35%,23%,17,55%,58%,61%,1441,2109,
10007783,University of Aberdeen,Scale08,3%,8%,14%,37%,38%,25,73%,75%,78%,1456,2109,
10007783,University of Aberdeen,Q26,8%,12%,34%,32%,15%,64,44%,47%,49%,1394,2109,
10007783,University of Aberdeen,Q27,2%,4%,7%,43%,44%,9,85%,87%,89%,1449,2109,
10007849,University of Abertay Dundee,Q01,0%,2%,4%,56%,37%,0,90%,93%,95%,446,674,
10007849,University of Abertay Dundee,Q02,1%,4%,9%,49%,37%,0,82%,86%,89%,446,674,
10007849,University of Abertay Dundee,Q03,1%,3%,9%,42%,44%,0,83%,87%,90%,446,674,
10007849,University of Abertay Dundee,Q04,2%,2%,11%,37%,47%,0,80%,84%,87%,446,674,
10007849,University of Abertay Dundee,Scale01,1%,3%,8%,46%,41%,0,84%,87%,90%,446,674,
10007849,University of Abertay Dundee,Q05,2%,2%,10%,37%,50%,0,82%,86%,89%,446,674,
10007849,University of Abertay Dundee,Q06,1%,3%,8%,40%,48%,0,84%,87%,90%,446,674,
10007849,University of Abertay Dundee,Q07,3%,5%,9%,38%,45%,0,79%,83%,86%,446,674,
10007849,University of Abertay Dundee,Scale02,2%,3%,9%,38%,48%,0,82%,86%,89%,446,674,
10007849,University of Abertay Dundee,Q08,3%,5%,11%,36%,44%,0,76%,80%,84%,446,674,
10007849,University of Abertay Dundee,Q09,2%,5%,15%,42%,36%,0,73%,78%,82%,446,674,
10007849,University of Abertay Dundee,Q10,2%,8%,11%,40%,39%,0,74%,79%,83%,446,674,
10007849,University of Abertay Dundee,Q11,1%,6%,12%,44%,37%,1,76%,81%,84%,445,674,
10007849,University of Abertay Dundee,Scale03,2%,6%,12%,40%,39%,1,75%,79%,83%,446,674,
10007849,University of Abertay Dundee,Q12,1%,2%,5%,27%,64%,1,88%,91%,94%,445,674,
10007849,University of Abertay Dundee,Q13,2%,4%,10%,38%,46%,1,80%,84%,87%,445,674,
10007849,University of Abertay Dundee,Q14,2%,4%,11%,38%,44%,11,78%,82%,86%,435,674,
10007849,University of Abertay Dundee,Scale04,2%,4%,9%,34%,52%,13,82%,86%,89%,446,674,
10007849,University of Abertay Dundee,Q15,4%,7%,14%,42%,33%,0,70%,75%,79%,446,674,
10007849,University of Abertay Dundee,Q16,6%,9%,7%,39%,39%,0,74%,78%,82%,446,674,
10007849,University of Abertay Dundee,Q17,2%,4%,11%,36%,48%,5,80%,84%,87%,441,674,
10007849,University of Abertay Dundee,Scale05,4%,7%,11%,39%,40%,5,75%,79%,83%,446,674,
10007849,University of Abertay Dundee,Q18,2%,4%,7%,35%,52%,7,83%,87%,90%,439,674,
10007849,University of Abertay Dundee,Q19,2%,4%,6%,31%,57%,7,84%,88%,91%,439,674,
10007849,University of Abertay Dundee,Q20,2%,3%,6%,33%,56%,5,85%,89%,92%,441,674,
10007849,University of Abertay Dundee,Scale06,2%,4%,6%,33%,55%,19,84%,88%,91%,446,674,
10007849,University of Abertay Dundee,Q21,5%,7%,19%,28%,41%,0,64%,69%,74%,446,674,
10007849,University of Abertay Dundee,Q22,1%,4%,7%,34%,55%,3,85%,89%,92%,443,674,
10007849,University of Abertay Dundee,Scale07,3%,5%,13%,31%,48%,3,74%,79%,83%,446,674,
10007849,University of Abertay Dundee,Q23,1%,3%,5%,34%,57%,1,87%,91%,93%,445,674,
10007849,University of Abertay Dundee,Q24,2%,4%,15%,34%,46%,2,76%,80%,84%,444,674,
10007849,University of Abertay Dundee,Q25,4%,10%,22%,31%,33%,4,59%,64%,69%,442,674,
10007849,University of Abertay Dundee,Scale08,2%,5%,14%,33%,45%,7,74%,78%,82%,445,674,
10007849,University of Abertay Dundee,Q26,5%,7%,31%,36%,21%,20,52%,58%,63%,426,674,
10007849,University of Abertay Dundee,Q27,1%,4%,8%,37%,50%,3,84%,87%,90%,443,674,
10007856,Aberystwyth University,Q01,0%,1%,2%,56%,40%,0,95%,96%,97%,1342,1586,
10007856,Aberystwyth University,Q02,1%,3%,5%,52%,39%,0,89%,91%,93%,1342,1586,
10007856,Aberystwyth University,Q03,1%,3%,6%,37%,54%,0,89%,90%,92%,1342,1586,
10007856,Aberystwyth University,Q04,1%,3%,8%,38%,48%,1,85%,87%,89%,1341,1586,
10007856,Aberystwyth University,Scale01,1%,3%,6%,46%,45%,1,89%,91%,93%,1342,1586,
10007856,Aberystwyth University,Q05,1%,3%,7%,36%,53%,1,87%,89%,91%,1341,1586,
10007856,Aberystwyth University,Q06,1%,2%,6%,37%,54%,3,89%,91%,93%,1339,1586,
10007856,Aberystwyth University,Q07,1%,4%,7%,38%,50%,4,86%,88%,89%,1338,1586,
10007856,Aberystwyth University,Scale02,1%,3%,7%,37%,52%,8,87%,89%,91%,1342,1586,
10007856,Aberystwyth University,Q08,2%,5%,9%,38%,46%,1,82%,84%,86%,1341,1586,
10007856,Aberystwyth University,Q09,1%,5%,11%,45%,38%,2,80%,83%,85%,1340,1586,
10007856,Aberystwyth University,Q10,2%,4%,8%,42%,43%,1,83%,85%,87%,1341,1586,
10007856,Aberystwyth University,Q11,1%,5%,6%,47%,41%,2,86%,88%,90%,1340,1586,
10007856,Aberystwyth University,Scale03,2%,5%,9%,43%,42%,6,83%,85%,87%,1341,1586,
10007856,Aberystwyth University,Q12,1%,2%,3%,28%,66%,3,92%,94%,95%,1339,1586,
10007856,Aberystwyth University,Q13,1%,4%,8%,40%,47%,2,85%,87%,89%,1340,1586,
10007856,Aberystwyth University,Q14,2%,6%,10%,39%,44%,38,80%,83%,85%,1304,1586,
10007856,Aberystwyth University,Scale04,1%,4%,7%,36%,52%,43,86%,88%,90%,1342,1586,
10007856,Aberystwyth University,Q15,3%,5%,8%,45%,40%,1,83%,85%,87%,1341,1586,
10007856,Aberystwyth University,Q16,2%,5%,9%,37%,47%,3,81%,84%,86%,1339,1586,
10007856,Aberystwyth University,Q17,2%,4%,5%,36%,53%,16,87%,89%,91%,1326,1586,
10007856,Aberystwyth University,Scale05,2%,5%,7%,39%,47%,20,84%,86%,88%,1342,1586,
10007856,Aberystwyth University,Q18,1%,2%,5%,36%,57%,10,91%,93%,94%,1332,1586,
10007856,Aberystwyth University,Q19,1%,2%,5%,32%,59%,18,90%,92%,93%,1324,1586,
10007856,Aberystwyth University,Q20,1%,2%,5%,33%,59%,41,91%,93%,94%,1301,1586,
10007856,Aberystwyth University,Scale06,1%,2%,5%,34%,59%,69,91%,92%,94%,1342,1586,
10007856,Aberystwyth University,Q21,3%,7%,13%,35%,41%,9,74%,77%,79%,1333,1586,
10007856,Aberystwyth University,Q22,1%,4%,7%,35%,54%,17,87%,89%,91%,1325,1586,
10007856,Aberystwyth University,Scale07,2%,5%,10%,35%,47%,26,80%,83%,85%,1340,1586,
10007856,Aberystwyth University,Q23,1%,3%,5%,32%,59%,0,89%,91%,93%,1342,1586,
10007856,Aberystwyth University,Q24,2%,4%,9%,34%,52%,2,84%,86%,88%,1340,1586,
10007856,Aberystwyth University,Q25,3%,6%,13%,36%,43%,12,76%,78%,81%,1330,1586,
10007856,Aberystwyth University,Scale08,2%,4%,9%,34%,51%,14,83%,85%,87%,1342,1586,
10007856,Aberystwyth University,Q26,8%,9%,24%,32%,27%,74,56%,59%,62%,1268,1586,
10007856,Aberystwyth University,Q27,1%,3%,4%,35%,56%,2,89%,91%,93%,1340,1586,
10000055,Abingdon and Witney College,Q01,0%,0%,6%,65%,29%,0,82%,94%,98%,49,57,
10000055,Abingdon and Witney College,Q02,0%,2%,6%,57%,35%,0,79%,92%,97%,49,57,
10000055,Abingdon and Witney College,Q03,0%,0%,4%,37%,59%,0,85%,96%,99%,49,57,
10000055,Abingdon and Witney College,Q04,0%,2%,10%,39%,49%,0,74%,88%,95%,49,57,
10000055,Abingdon and Witney College,Scale01,0%,1%,7%,49%,43%,0,80%,92%,97%,49,57,
10000055,Abingdon and Witney College,Q05,0%,4%,12%,37%,47%,0,69%,84%,92%,49,57,
10000055,Abingdon and Witney College,Q06,0%,4%,10%,43%,43%,0,72%,86%,93%,49,57,
10000055,Abingdon and Witney College,Q07,2%,8%,8%,47%,35%,0,67%,82%,91%,49,57,
10000055,Abingdon and Witney College,Scale02,1%,5%,10%,42%,42%,0,69%,84%,92%,49,57,
10000055,Abingdon and Witney College,Q08,4%,8%,8%,53%,27%,0,65%,80%,89%,49,57,
10000055,Abingdon and Witney College,Q09,0%,2%,10%,57%,31%,0,74%,88%,95%,49,57,
10000055,Abingdon and Witney College,Q10,4%,18%,16%,27%,35%,0,46%,61%,75%,49,57,
10000055,Abingdon and Witney College,Q11,4%,4%,8%,53%,31%,0,69%,84%,92%,49,57,
10000055,Abingdon and Witney College,Scale03,3%,8%,11%,47%,31%,0,63%,78%,88%,49,57,
10000055,Abingdon and Witney College,Q12,2%,0%,16%,41%,41%,0,67%,82%,91%,49,57,
10000055,Abingdon and Witney College,Q13,0%,8%,2%,57%,33%,0,77%,90%,96%,49,57,
10000055,Abingdon and Witney College,Q14,6%,2%,10%,54%,27%,1,66%,81%,90%,48,57,
10000055,Abingdon and Witney College,Scale04,3%,3%,10%,51%,34%,1,70%,84%,93%,49,57,
10000055,Abingdon and Witney College,Q15,2%,8%,14%,55%,20%,0,60%,76%,86%,49,57,
