2021 NSS results split by teaching provider,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size
10007783,University of Aberdeen,Q01,1%,3%,7%,61%,28%,0,87%,89%,91%,1301,2023
10007783,University of Aberdeen,Q02,1%,5%,10%,54%,30%,0,82%,84%,86%,1301,2023
10007783,University of Aberdeen,Q03,1%,4%,8%,38%,49%,1,85%,87%,89%,1300,2023
10007783,University of Aberdeen,Q04,2%,7%,12%,40%,39%,1,77%,79%,81%,1300,2023
10007783,University of Aberdeen,Scale01,1%,5%,9%,48%,37%,2,82%,85%,87%,1301,2023
10007783,University of Aberdeen,Q05,2%,5%,10%,42%,41%,1,81%,83%,85%,1300,2023
10007783,University of Aberdeen,Q06,1%,4%,9%,44%,42%,1,84%,86%,88%,1300,2023
10007783,University of Aberdeen,Q07,2%,8%,14%,40%,35%,2,73%,76%,78%,1299,2023
10007783,University of Aberdeen,Scale02,2%,6%,11%,42%,39%,4,79%,81%,84%,1301,2023
10007783,University of Aberdeen,Q08,6%,12%,15%,38%,29%,2,64%,67%,70%,1299,2023
10007783,University of Aberdeen,Q09,4%,9%,15%,45%,26%,4,68%,71%,74%,1297,2023
10007783,University of Aberdeen,Q10,9%,18%,16%,39%,18%,3,54%,57%,60%,1298,2023
10007783,University of Aberdeen,Q11,4%,14%,16%,45%,21%,4,63%,66%,69%,1297,2023
10007783,University of Aberdeen,Scale03,6%,13%,16%,42%,24%,13,62%,65%,68%,1301,2023
10007783,University of Aberdeen,Q12,1%,4%,7%,36%,53%,0,86%,88%,90%,1301,2023
10007783,University of Aberdeen,Q13,3%,8%,11%,46%,31%,2,75%,77%,80%,1299,2023
10007783,University of Aberdeen,Q14,4%,10%,18%,39%,30%,44,66%,69%,72%,1257,2023
10007783,University of Aberdeen,Scale04,3%,7%,12%,40%,38%,46,76%,78%,81%,1301,2023
10007783,University of Aberdeen,Q15,4%,10%,15%,46%,25%,0,69%,72%,74%,1301,2023
10007783,University of Aberdeen,Q16,2%,6%,10%,41%,41%,4,80%,82%,84%,1297,2023
10007783,University of Aberdeen,Q17,4%,8%,12%,40%,37%,7,74%,77%,79%,1294,2023
10007783,University of Aberdeen,Scale05,4%,8%,12%,43%,34%,11,74%,77%,79%,1301,2023
10007783,University of Aberdeen,Q18,3%,5%,13%,41%,38%,28,76%,79%,81%,1273,2023
10007783,University of Aberdeen,Q19,3%,7%,10%,36%,44%,21,77%,80%,82%,1280,2023
10007783,University of Aberdeen,Q20,3%,5%,12%,39%,42%,44,79%,81%,83%,1257,2023
10007783,University of Aberdeen,Scale06,3%,6%,12%,39%,41%,93,77%,80%,82%,1300,2023
10007783,University of Aberdeen,Q21,7%,11%,18%,37%,27%,4,61%,64%,67%,1297,2023
10007783,University of Aberdeen,Q22,2%,7%,11%,38%,42%,6,77%,80%,82%,1295,2023
10007783,University of Aberdeen,Scale07,5%,9%,15%,37%,34%,10,69%,72%,74%,1300,2023
10007783,University of Aberdeen,Q23,1%,3%,6%,38%,52%,5,88%,90%,91%,1296,2023
10007783,University of Aberdeen,Q24,5%,10%,14%,36%,34%,5,67%,70%,73%,1296,2023
